iter	Passed	Remaining
0	2	2100
1	3	1843
2	5	1896
3	7	1850
4	9	1866
5	11	1852
6	13	1919
7	15	1937
8	17	1944
9	19	1959
10	21	1950
11	23	1959
12	25	1936
13	27	1917
14	29	1933
15	31	1951
16	33	1938
17	35	1932
18	37	1932
19	39	1928
20	41	1918
21	43	1925
22	45	1925
23	47	1919
24	49	1911
25	50	1898
26	52	1901
27	54	1899
28	56	1889
29	58	1880
30	61	1916
31	64	1945
32	66	1957
33	69	1969
34	71	1966
35	73	1960
36	75	1958
37	77	1961
38	80	1974
39	82	1974
40	84	1976
41	86	1973
42	88	1971
43	90	1969
44	92	1971
45	96	1994
46	99	2010
47	101	2012
48	103	2009
49	105	2005
50	107	2007
51	110	2013
52	112	2016
53	115	2028
54	118	2043
55	121	2047
56	123	2046
57	125	2044
58	127	2039
59	130	2046
60	133	2050
61	135	2051
62	138	2055
63	140	2054
64	143	2062
65	145	2056
66	147	2053
67	149	2048
68	151	2041
69	153	2037
70	155	2032
71	158	2036
72	160	2034
73	162	2034
74	164	2030
75	166	2026
76	168	2025
77	170	2019
78	172	2012
79	174	2005
80	177	2014
81	179	2009
82	181	2004
83	183	1998
84	185	1993
85	187	1988
86	189	1984
87	190	1978
88	192	1970
89	194	1962
90	195	1955
91	197	1948
92	199	1943
93	201	1938
94	202	1932
95	204	1926
96	206	1920
97	208	1914
98	209	1908
99	211	1902
100	212	1895
101	214	1888
102	216	1882
103	217	1877
104	219	1872
105	220	1863
106	222	1857
107	224	1852
108	226	1847
109	227	1842
110	229	1837
111	231	1833
112	232	1828
113	234	1823
114	236	1817
115	237	1812
116	239	1807
117	241	1802
118	243	1800
119	244	1796
120	246	1791
121	248	1788
122	251	1791
123	252	1787
124	254	1782
125	256	1778
126	257	1773
127	259	1769
128	261	1764
129	262	1760
130	264	1755
131	266	1751
132	267	1746
133	269	1742
134	271	1738
135	272	1734
136	274	1730
137	276	1727
138	278	1722
139	279	1718
140	281	1716
141	283	1712
142	285	1708
143	286	1705
144	289	1709
145	292	1708
146	293	1705
147	296	1705
148	298	1705
149	301	1706
150	302	1702
151	304	1701
152	306	1697
153	308	1696
154	310	1693
155	312	1690
156	314	1687
157	316	1685
158	318	1685
159	320	1682
160	322	1678
161	324	1676
162	325	1673
163	328	1673
164	329	1669
165	331	1667
166	334	1666
167	335	1663
168	338	1662
169	339	1659
170	341	1657
171	343	1654
172	345	1650
173	346	1646
174	349	1645
175	351	1644
176	353	1643
177	355	1641
178	357	1638
179	358	1634
180	360	1631
181	362	1628
182	364	1628
183	366	1626
184	369	1627
185	371	1626
186	373	1623
187	375	1620
188	376	1617
189	379	1616
190	381	1614
191	383	1614
192	386	1614
193	388	1615
194	390	1613
195	393	1613
196	395	1611
197	398	1612
198	400	1610
199	402	1608
200	404	1606
201	406	1604
202	407	1601
203	409	1599
204	411	1596
205	414	1597
206	417	1598
207	419	1598
208	421	1595
209	423	1594
210	425	1592
211	427	1589
212	429	1587
213	432	1588
214	434	1588
215	437	1586
216	439	1584
217	441	1582
218	443	1580
219	445	1579
220	447	1578
221	450	1578
222	452	1576
223	454	1574
224	456	1573
225	458	1571
226	462	1573
227	465	1575
228	467	1572
229	468	1569
230	470	1566
231	472	1565
232	475	1564
233	479	1568
234	481	1567
235	483	1565
236	485	1562
237	487	1559
238	489	1557
239	491	1556
240	495	1561
241	497	1559
242	500	1557
243	502	1556
244	511	1575
245	513	1575
246	516	1574
247	518	1570
248	519	1568
249	524	1574
250	527	1573
251	528	1570
252	530	1566
253	532	1563
254	534	1560
255	535	1557
256	539	1559
257	542	1559
258	544	1556
259	545	1553
260	547	1550
261	549	1546
262	550	1543
263	552	1541
264	556	1543
265	558	1540
266	559	1537
267	561	1534
268	563	1531
269	565	1528
270	566	1524
271	568	1522
272	570	1520
273	575	1524
274	577	1522
275	579	1519
276	581	1516
277	582	1513
278	584	1511
279	590	1518
280	592	1516
281	594	1514
282	596	1511
283	598	1508
284	600	1507
285	603	1506
286	606	1506
287	608	1503
288	610	1501
289	612	1498
290	615	1500
291	619	1501
292	621	1500
293	623	1498
294	625	1495
295	627	1493
296	629	1490
297	632	1489
298	636	1492
299	638	1490
300	640	1487
301	642	1485
302	644	1483
303	646	1480
304	648	1477
305	651	1478
306	653	1476
307	655	1473
308	657	1470
309	659	1468
310	661	1465
311	663	1462
312	665	1460
313	667	1458
314	669	1455
315	670	1452
316	673	1450
317	676	1450
318	677	1447
319	680	1445
320	683	1445
321	685	1443
322	688	1442
323	690	1439
324	691	1436
325	693	1434
326	696	1432
327	698	1430
328	700	1428
329	702	1426
330	704	1424
331	707	1422
332	709	1421
333	711	1419
334	713	1416
335	715	1414
336	717	1411
337	719	1409
338	721	1407
339	723	1404
340	725	1401
341	726	1398
342	729	1396
343	731	1394
344	732	1391
345	735	1389
346	737	1387
347	739	1384
348	740	1381
349	742	1379
350	744	1376
351	747	1376
352	750	1374
353	752	1372
354	754	1369
355	755	1367
356	757	1364
357	760	1363
358	763	1362
359	765	1360
360	767	1358
361	769	1355
362	771	1353
363	773	1350
364	776	1350
365	779	1350
366	781	1347
367	783	1344
368	785	1342
369	786	1339
370	788	1336
371	790	1334
372	792	1332
373	795	1331
374	797	1329
375	799	1326
376	801	1324
377	803	1322
378	805	1319
379	807	1317
380	809	1314
381	811	1312
382	813	1310
383	815	1308
384	817	1305
385	819	1303
386	821	1301
387	823	1299
388	826	1297
389	827	1294
390	829	1292
391	831	1290
392	834	1288
393	836	1286
394	838	1283
395	840	1282
396	842	1280
397	844	1277
398	846	1275
399	848	1272
400	850	1270
401	851	1267
402	853	1265
403	856	1264
404	859	1262
405	861	1260
406	863	1258
407	866	1256
408	867	1253
409	870	1252
410	873	1251
411	875	1249
412	877	1247
413	880	1246
414	882	1244
415	884	1241
416	886	1239
417	889	1238
418	890	1235
419	892	1232
420	894	1230
421	896	1228
422	898	1225
423	900	1223
424	902	1220
425	905	1219
426	907	1217
427	909	1215
428	911	1213
429	913	1210
430	915	1207
431	917	1206
432	920	1204
433	922	1202
434	923	1200
435	926	1198
436	928	1195
437	929	1192
438	931	1190
439	933	1187
440	936	1186
441	938	1184
442	940	1183
443	943	1180
444	944	1178
445	946	1175
446	948	1172
447	950	1171
448	952	1169
449	954	1166
450	956	1164
451	958	1162
452	960	1160
453	962	1157
454	964	1155
455	968	1155
456	970	1153
457	972	1151
458	974	1148
459	976	1146
460	978	1143
461	981	1142
462	984	1141
463	986	1139
464	987	1136
465	989	1134
466	991	1131
467	993	1129
468	994	1126
469	996	1124
470	999	1122
471	1001	1120
472	1003	1118
473	1005	1115
474	1007	1113
475	1009	1111
476	1011	1108
477	1012	1105
478	1014	1103
479	1016	1100
480	1018	1098
481	1020	1096
482	1022	1094
483	1024	1092
484	1026	1090
485	1028	1087
486	1030	1085
487	1032	1083
488	1035	1081
489	1037	1079
490	1039	1077
491	1041	1075
492	1045	1074
493	1047	1073
494	1050	1071
495	1052	1068
496	1054	1066
497	1056	1065
498	1058	1063
499	1061	1061
500	1064	1059
501	1070	1061
502	1072	1059
503	1073	1056
504	1076	1055
505	1079	1054
506	1082	1052
507	1084	1050
508	1086	1048
509	1088	1045
510	1090	1043
511	1094	1043
512	1096	1041
513	1099	1039
514	1101	1037
515	1103	1034
516	1105	1032
517	1107	1030
518	1111	1030
519	1113	1027
520	1114	1024
521	1116	1022
522	1118	1020
523	1120	1017
524	1122	1015
525	1125	1014
526	1128	1012
527	1130	1010
528	1132	1007
529	1134	1005
530	1136	1003
531	1137	1000
532	1140	999
533	1143	997
534	1145	995
535	1147	993
536	1149	990
537	1151	988
538	1152	986
539	1154	983
540	1157	982
541	1159	979
542	1161	977
543	1163	975
544	1165	973
545	1167	971
546	1170	968
547	1172	967
548	1174	965
549	1176	962
550	1178	960
551	1180	958
552	1182	955
553	1184	953
554	1186	951
555	1189	949
556	1191	947
557	1192	944
558	1194	942
559	1196	940
560	1198	937
561	1200	935
562	1202	933
563	1204	931
564	1206	928
565	1208	926
566	1210	924
567	1212	922
568	1214	919
569	1216	917
570	1218	915
571	1221	913
572	1223	911
573	1225	909
574	1228	907
575	1231	906
576	1232	903
577	1235	902
578	1238	900
579	1239	897
580	1241	895
581	1243	893
582	1245	890
583	1247	888
584	1252	888
585	1255	886
586	1257	884
587	1259	882
588	1261	880
589	1263	878
590	1265	875
591	1270	875
592	1274	874
593	1278	873
594	1282	872
595	1284	870
596	1285	868
597	1288	866
598	1290	864
599	1292	861
600	1294	859
601	1297	857
